Movement.TransportArtifact_Origin movement.transart_plcfrom

Movement.TransportPerson movement.transper
Movement.TransportPerson_Agent movement.transper_perorggpe
Movement.TransportPerson_Destination movement.transper_plcto
Movement.TransportPerson_Instrument movement.transper_vehwea
Movement.TransportPerson_Origin movement.transper_plcfrom
Movement.TransportPerson_Person movement.transper_per

Personnel.Elect personnel.elect
Personnel.Elect_Elect personnel.elect_per
Personnel.Elect_Elector personnel.elect_perorggpe
Personnel.Elect_Place personnel.elect_plc

Personnel.EndPosition personnel.endpnl
Personnel.EndPosition_Organization personnel.endpnl_orggpe
Personnel.EndPosition_Person personnel.endpnl_per
Personnel.EndPosition_Place personnel.endpnl_plc

Personnel.Nominate personnel.nominate
Personnel.Nominate_Nominator personnel.nominate_perorggpe
Personnel.Nominate_Nominee personnel.nominate_per
Personnel.Nominate_Place personnel.nominate_plc

Personnel.StartPosition personnel.startpnl
Personnel.StartPosition_Organization personnel.startpnl_orggpe
Personnel.StartPosition_Person personnel.startpnl_per
Personnel.StartPosition_Place personnel.startpnl_plc

Transaction.Transaction transaction.transaction
Transaction.Transaction_Beneficiary transaction.transaction_bene
Transaction.Transaction_Giver transaction.transaction_gvr
Transaction.Transaction_Place transaction.transaction_plc
Transaction.Transaction_Recipient transaction.transaction_rcvr

Transaction.TransferControl transaction.transfercontrol
Transaction.TransferControl_Beneficiary transaction.transfercontrol_benetransfercontrol
Transaction.TransferControl_Giver transaction.transfercontrol_gvrtransfercontrol
Transaction.TransferControl_Place transaction.transfercontrol_plc
Transaction.TransferControl_Recipient transaction.transfercontrol_rcvrtransfercontrol
Transaction.TransferControl_Territory transaction.transfercontrol_territory

Transaction.TransferMoney transaction.transmon
Transaction.TransferMoney_Beneficiary transaction.transmon_bene
Transaction.TransferMoney_Giver transaction.transmon_gvr
Transaction.TransferMoney_Place transaction.transmon_plc
Transaction.TransferMoney_Recipient transaction.transmon_rcvr

Transaction.TransferOwnership transaction.transown
Transaction.TransferOwnership_Beneficiary transaction.transown_bene
Transaction.TransferOwnership_Giver transaction.transown_gvr
Transaction.TransferOwnership_Place transaction.transown_plc
Transaction.TransferOwnership_Recipient transaction.transown_rcvr
Transaction.TransferOwnership_Thing transaction.transown_weavehorgthg
